CleanRegionName,CleanStateName,CleanHealthRegionName,CleanMunicipalityName,CanonicalRegionName,CanonicalStateName,CanonicalHealthRegionName,CanonicalMunicipalityName
,,,0000000,,,,
,,,0000001,,,,
,,,0000010,,,,
,,,0000011,,,,
,,,0000012,,,,
,,,0000013,,,,
,,,0000014,,,,
,,,0000052,,,,
,,,0000074,,,,
,,,0000119,,,,
,,,1100000,Norte,Rondônia,,
,,,110000,Norte,Rondônia,,
,,,110001,Norte,Rondônia,Zona da Mata,Alta Floresta D'Oeste (1100015)
,,,1100015,Norte,Rondônia,Zona da Mata,Alta Floresta D'Oeste (1100015)
,,,110002,Norte,Rondônia,Vale do Jamari,Ariquemes (1100023)
,,,1100023,Norte,Rondônia,Vale do Jamari,Ariquemes (1100023)
,,,110003,Norte,Rondônia,Cone Sul,Cabixi (1100031)
,,,1100031,Norte,Rondônia,Cone Sul,Cabixi (1100031)
,,,110004,Norte,Rondônia,Café,Cacoal (1100049)
,,,1100049,Norte,Rondônia,Café,Cacoal (1100049)
,,,110005,Norte,Rondônia,Cone Sul,Cerejeiras (1100056)
,,,1100056,Norte,Rondônia,Cone Sul,Cerejeiras (1100056)
,,,110006,Norte,Rondônia,Cone Sul,Colorado do Oeste (1100064)
,,,1100064,Norte,Rondônia,Cone Sul,Colorado do Oeste (1100064)
,,,110007,Norte,Rondônia,Cone Sul,Corumbiara (1100072)
,,,1100072,Norte,Rondônia,Cone Sul,Corumbiara (1100072)
,,,1100080,Norte,Rondônia,Vale do Guaporé,Costa Marques (1100080)
,,,110008,Norte,Rondônia,Vale do Guaporé,Costa Marques (1100080)
,,,110009,Norte,Rondônia,Café,Espigão D'Oeste (1100098)
,,,1100098,Norte,Rondônia,Café,Espigão D'Oeste (1100098)
,,,110010,Norte,Rondônia,Madeira-Mamoré,Guajará-Mirim (1100106)
,,,1100106,Norte,Rondônia,Madeira-Mamoré,Guajará-Mirim (1100106)
,,,110011,Norte,Rondônia,Central,Jaru (1100114)
,,,1100114,Norte,Rondônia,Central,Jaru (1100114)
,,,110012,Norte,Rondônia,Central,Ji-Paraná (1100122)
,,,1100122,Norte,Rondônia,Central,Ji-Paraná (1100122)
,,,1100130,Norte,Rondônia,Vale do Jamari,Machadinho D'Oeste (1100130)
,,,110013,Norte,Rondônia,Vale do Jamari,Machadinho D'Oeste (1100130)
,,,110014,Norte,Rondônia,Zona da Mata,Nova Brasilândia D'Oeste (1100148)
,,,1100148,Norte,Rondônia,Zona da Mata,Nova Brasilândia D'Oeste (1100148)
